Project,Summary,Description,State (state),Priority (enum),Type (enum),Epic (enum),Module (enum),Repository (enum multi),Fase (enum)
CG,"[ARCH] Definir contratos da API publica do consumidor","Mapear todos os endpoints que o app consumidor consumira sem autenticacao ou com autenticacao leve.

Tarefas:
- Listar endpoints publicos necessarios (lojas por raio, catalogo, busca)
- Listar endpoints que exigem auth de consumidor (carrinho, pedido, perfil)
- Definir formato de resposta padrao
- Documentar contratos em OpenAPI ou Markdown

Criterios de aceite:
- Lista de endpoints aprovada
- Formato de resposta definido","Open","Critica","Task","EPIC-02: Arquitetura","API Publica","cervagelada_back_api","Fase 0"
CG,"[ARCH] Definir estrategia de sessao do consumidor","Decidir como o consumidor sera identificado: JWT, session cookie, guest token, ou combinacao.

Tarefas:
- Avaliar cenarios: guest browsing, login social, login email
- Decidir se carrinho funciona sem login
- Documentar fluxo de autenticacao

Criterios de aceite:
- Decisao documentada
- Fluxo guest-to-authenticated definido","Open","Alta","Task","EPIC-02: Arquitetura","Fundacao","cervagelada, cervagelada_back_api","Fase 0"
CG,"EPIC-03: Localizacao e Endereco","Objetivo: implementar o fluxo completo de localizacao do consumidor para habilitar a descoberta de lojas por proximidade. Cobre RF-01, RF-02 e RF-03.

Requisitos cobertos:
- RF-01: Confirmacao de endereco via CEP e geolocalizacao
- RF-02: Validacao continua de localizacao (endereco salvo vs local atual)
- RF-03: Mensagem de area nao atendida

Dependencias:
- EPIC-02 (definicao de arquitetura do app consumidor)

Entregaveis:
- Consumidor define endereco por CEP ou geolocalizacao
- Endereco persiste entre sessoes
- Sistema detecta divergencia e pergunta ao usuario
- Mensagem clara quando nao ha lojas na regiao","Open","Critica","Epic","EPIC-03: Localizacao","Localizacao","cervagelada, cervagelada_back_api","Fase 1"
CG,"[BE] Integrar servico de consulta de CEP (ViaCEP)","Criar service no backend para consultar CEP e retornar endereco completo com coordenadas.

Tarefas:
- Criar CepService com integracao ViaCEP
- Validar CEP invalido ou inexistente
- Retornar endereco com logradouro, bairro, cidade, estado
- Integrar geocoding para obter lat/lng a partir do endereco
- Criar endpoint publico GET /api/public/cep/{cep}

Criterios de aceite:
- CEP valido retorna endereco completo
- CEP invalido retorna erro tratado
- Coordenadas sao retornadas quando possivel","Open","Critica","Task","EPIC-03: Localizacao","Backend","cervagelada_back_api","Fase 1"
CG,"[BE] Criar endpoints publicos de endereco do consumidor","Endpoints para consumidor gerenciar enderecos sem depender de auth:api do painel.

Tarefas:
- POST /api/public/enderecos (salvar endereco com user_id opcional)
- GET /api/public/enderecos/meus (listar enderecos do usuario autenticado)
- PUT /api/public/enderecos/{id} (atualizar)
- DELETE /api/public/enderecos/{id} (remover)
- Suportar endereco principal (flag)

Criterios de aceite:
- Consumidor autenticado gerencia seus enderecos
- Endereco principal e marcado automaticamente se unico","Open","Critica","Task","EPIC-03: Localizacao","API Publica","cervagelada_back_api","Fase 1"
CG,"[SITE] Implementar consulta de CEP no modal de verificacao de idade","O AgeVerificationModal ja tem campo CEP com maska mas nao faz consulta. Integrar com a API.

Tarefas:
- Chamar endpoint de CEP ao completar 8 digitos
- Exibir endereco retornado para confirmacao
- Persistir endereco em cookie/localStorage
- Mostrar endereco no header do site
- Tratar CEP invalido com mensagem de erro

Criterios de aceite:
- CEP preenchido busca endereco automaticamente
- Endereco persiste ao navegar entre sessoes","Open","Critica","Task","EPIC-03: Localizacao","Site Publico","cervagelada","Fase 1"
CG,"[SITE] Implementar geolocalizacao via browser API","Solicitar permissao de geolocalizacao e usar como alternativa ao CEP.

Tarefas:
- Solicitar navigator.geolocation.getCurrentPosition
- Reverse geocode para obter endereco
- Exibir endereco para confirmacao do usuario
- Persistir como endereco atual
- Tratar recusa de permissao com fallback para CEP

Criterios de aceite:
- Geolocalizacao funciona quando permitida
- Recusa cai graciosamente no fluxo de CEP","Open","Alta","Task","EPIC-03: Localizacao","Site Publico","cervagelada","Fase 1"
CG,"[SITE] Implementar reconciliacao de endereco (local atual vs salvo)","Quando consumidor retorna ao app, comparar geolocalizacao atual com endereco salvo.

Tarefas:
- Ao carregar a pagina, comparar local com endereco salvo
- Se divergir, exibir dialog: 'Comprar para endereco salvo ou usar novo?'
- Atualizar contexto de compra com a decisao
- Nao perguntar novamente se usuario ja decidiu na sessao

Criterios de aceite:
- Dialog aparece apenas quando ha divergencia relevante (> 1km)
- Contexto de compra reflete a decisao","Open","Alta","Task","EPIC-03: Localizacao","Site Publico","cervagelada","Fase 1"
CG,"[BE] Implementar calculo de distancia e filtro por raio","Criar logica de calculo de distancia entre coordenadas do consumidor e das lojas.

Tarefas:
- Implementar formula Haversine no backend
- Crear scope 'porRaio' no model Loja
- Filtrar lojas onde distancia <= raio_entrega_km
- Retornar distancia calculada no resultado
- Criar endpoint publico GET /api/public/lojas?lat=X&lng=Y

Criterios de aceite:
- Apenas lojas dentro do raio sao retornadas
- Distancia e tempo estimado sao incluidos na resposta","Open","Critica","Task","EPIC-03: Localizacao","Backend","cervagelada_back_api","Fase 1"
CG,"[SITE] Implementar mensagem de area nao atendida (RF-03)","Exibir fallback quando nao houver lojas para a localizacao do consumidor.

Tarefas:
- Tratar resposta vazia da API de lojas
- Exibir mensagem: 'No momento nao temos adegas disponiveis na sua localizacao'
- Oferecer CTA para alterar endereco
- Opcionalmente coletar email para avisar quando houver cobertura

Criterios de aceite:
- Nenhuma secao de loja fica vazia sem explicacao
- Botao de alterar endereco funciona","Open","Alta","Task","EPIC-03: Localizacao","Site Publico","cervagelada","Fase 1"
CG,"EPIC-04: Descoberta de Lojas","Objetivo: substituir dados hardcoded por listagens dinamicas de lojas na experiencia publica. Cobre RF-04 e RF-05.

Requisitos cobertos:
- RF-04: Listagem de distribuidoras em carrossel com filtro por raio
- RF-05: Listagem de cervejarias artesanais em carrossel separado

Dependencias:
- EPIC-03 (localizacao do consumidor definida)

Entregaveis:
- Carrosseis de distribuidoras e cervejarias com dados reais
- Filtro por raio de entrega e tipo de loja
- Cards com nome, tipo, rating, logo e tempo de entrega","Open","Critica","Epic","EPIC-04: Descoberta de Lojas","Marketplace","cervagelada, cervagelada_back_api","Fase 1"
CG,"[BE] Criar endpoints publicos de listagem de lojas por tipo e raio","Expor lojas sem exigir autenticacao do painel.

Tarefas:
- GET /api/public/lojas/distribuidoras?lat=X&lng=Y (tipo_loja=distribuidor)
- GET /api/public/lojas/cervejarias?lat=X&lng=Y (tipo_loja=cervejaria)
- Filtrar por ativo=true e dentro do raio
- Incluir distancia, tempo_entrega e horario_funcionamento
- Ordenar por proximidade
- Suportar paginacao

Criterios de aceite:
- Endpoints nao exigem auth
- Resultado inclui dados de vitrine (nome, logo, tempo, distancia)","Open","Critica","Task","EPIC-04: Descoberta de Lojas","API Publica","cervagelada_back_api","Fase 1"
CG,"[BE] Adicionar campo de logo/imagem na tabela lojas","A tabela lojas nao possui campo de imagem/logo. Necessario para exibir cards no site.

Tarefas:
- Criar migration adicionando url_logo (varchar 255 nullable)
- Atualizar model Loja (fillable, cast de upload)
- Atualizar LojaRequest com validacao de imagem
- Atualizar formulario no painel

Criterios de aceite:
- Loja pode ter imagem de logo
- Upload funciona no painel admin","Open","Alta","Task","EPIC-04: Descoberta de Lojas","Backend","cervagelada_back_api","Fase 1"
CG,"[FE] Adicionar upload de logo no formulario de Loja","Incluir campo de upload de imagem no LojaForm.vue do painel.

Tarefas:
- Adicionar CDFFileUpload ou EnviarImagem no formulario
- Vincular ao campo url_logo
- Preview da imagem atual na edicao

Criterios de aceite:
- Seller/admin pode fazer upload do logo da loja","Open","Alta","Task","EPIC-04: Descoberta de Lojas","Backoffice","cervagelada_frontend","Fase 1"
CG,"[SITE] Integrar carrossel de distribuidoras com dados reais","Substituir dados hardcoded de SectionDistribuidoras.vue por chamada API.

Tarefas:
- Criar composable useLojas() ou useFetch para lojas
- Chamar endpoint publico de distribuidoras com lat/lng
- Substituir array estatico por dados da API
- Implementar skeleton loading
- Tratar erro e lista vazia

Criterios de aceite:
- Cards mostram dados reais das lojas ativas
- Conteudo muda com a localizacao do usuario","Open","Critica","Task","EPIC-04: Descoberta de Lojas","Site Publico","cervagelada","Fase 1"
CG,"[SITE] Integrar carrossel de cervejarias com dados reais","Substituir dados hardcoded de SectionCervejarias.vue por chamada API.

Tarefas:
- Chamar endpoint publico de cervejarias com lat/lng
- Substituir array estatico
- Skeleton loading
- Tratar lista vazia

Criterios de aceite:
- Cards de cervejarias com dados reais
- Carrossel separado do de distribuidoras","Open","Critica","Task","EPIC-04: Descoberta de Lojas","Site Publico","cervagelada","Fase 1"
CG,"EPIC-05: Vitrine da Loja","Objetivo: criar a pagina publica individual de cada loja com catalogo, horarios e informacoes operacionais. Cobre RF-06.

Requisitos cobertos:
- RF-06: Pagina da loja com lista de produtos, preco, quantidade e prazo de entrega

Dependencias:
- EPIC-04 (descoberta de lojas funcional)

Entregaveis:
- Pagina publica acessivel por URL /loja/{slug}
- Cabecalho com identidade da loja
- Listagem de produtos com preco e estoque
- Tempo de entrega visivel","Open","Critica","Epic","EPIC-05: Vitrine da Loja","Marketplace","cervagelada, cervagelada_back_api","Fase 1"
CG,"[BE] Criar endpoint publico de detalhes da loja","Expor dados completos de uma loja para a vitrine publica.

Tarefas:
- GET /api/public/lojas/{id}
- Retornar: dados da loja, horarios, total de produtos, avaliacao media
- Sem exigir autenticacao

Criterios de aceite:
- Endpoint publico funcional
- Inclui horarios de funcionamento e status aberto/fechado","Open","Critica","Task","EPIC-05: Vitrine da Loja","API Publica","cervagelada_back_api","Fase 1"
CG,"[BE] Criar endpoint publico de catalogo da loja","Listar produtos de uma loja com preco da loja e disponibilidade.

Tarefas:
- GET /api/public/lojas/{id}/produtos
- Retornar dados da tabela loja_produtos: preco, preco_promocional, estoque, destaque
- Filtrar apenas ativo=true e estoque > 0
- Suportar paginacao, busca por nome e ordenacao
- Incluir dados do produto base (nome, imagem, marca, volume)

Criterios de aceite:
- Frontend consumidor monta vitrine apenas com esse endpoint
- Preco e estoque sao da associacao loja-produto","Open","Critica","Task","EPIC-05: Vitrine da Loja","API Publica","cervagelada_back_api","Fase 1"
CG,"[SITE] Criar roteamento e pagina de vitrine da loja","Implementar navegacao para pagina individual da loja no Nuxt.

Tarefas:
- Criar diretorio app/pages/ com rota /loja/[id].vue
- Configurar Nuxt para file-based routing
- Implementar cabecalho da loja (nome, logo, horario, tempo entrega)
- Implementar grid/lista de produtos
- Card de produto com imagem, nome, preco, botao adicionar
- Responsivo mobile-first

Criterios de aceite:
- Clicar em loja no carrossel leva para a vitrine
- Produtos reais da loja sao exibidos","Open","Critica","Task","EPIC-05: Vitrine da Loja","Site Publico","cervagelada","Fase 1"
CG,"EPIC-06: Catalogo e Produtos","Objetivo: implementar catalogo padronizado de SKUs, match de produtos por sellers, aprovacao de produtos proprios e descricao sob demanda. Cobre RF-07, RF-08 e RF-09.

Requisitos cobertos:
- RF-07: Catalogo padronizado com 6000+ SKUs e match por sellers
- RF-08: Cadastro de produtos proprios de cervejarias com aprovacao
- RF-09: Descricao do produto sob demanda (modal/popup)

Dependencias:
- EPIC-05 (vitrine funcional)

Entregaveis:
- Base de SKUs padronizados com EAN
- Fluxo de match: seller busca por EAN e vincula preco da loja
- Cervejaria cadastra produto proprio que vai para fila de aprovacao
- Descricao detalhada abre em modal/drawer no site","Open","Alta","Epic","EPIC-06: Catalogo","Catalogo","cervagelada, cervagelada_frontend, cervagelada_back_api","Fase 2"
CG,"[BE] Criar migration para status de aprovacao de produto","Adicionar campo de aprovacao para produtos proprios de cervejarias.

Tarefas:
- Criar migration adicionando: status_aprovacao enum (pendente, aprovado, reprovado) default pendente
- Adicionar campo motivo_reprovacao (text nullable)
- Adicionar campo aprovado_por (ulid nullable FK users)
- Adicionar campo aprovado_em (datetime nullable)
- Atualizar model Produto com novos campos

Criterios de aceite:
- Produto pode ter status de aprovacao
- Migration nao quebra dados existentes (default pendente)","Open","Alta","Task","EPIC-06: Catalogo","Backend","cervagelada_back_api","Fase 2"
CG,"[BE] Implementar fluxo de aprovacao de produto no controller","Criar acoes admin para aprovar e reprovar produtos de cervejarias.

Tarefas:
- POST /api/produtos/{id}/aprovar
- POST /api/produtos/{id}/reprovar com motivo
- Filtrar produtos publicos apenas onde status_aprovacao=aprovado
- Enviar notificacao ao seller ao aprovar/reprovar

Criterios de aceite:
- Admin aprova/reprova com rastreabilidade
- Produto nao aprovado nao aparece em endpoints publicos","Open","Alta","Task","EPIC-06: Catalogo","Backend","cervagelada_back_api","Fase 2"
CG,"[FE] Criar tela de aprovacao de produtos no painel admin","Interface para admin revisar e aprovar produtos pendentes.

Tarefas:
- Criar pagina /produto/aprovacao com listagem filtrada por status pendente
- Botoes de aprovar e reprovar (com campo de motivo)
- Filtros por cervejaria, data de criacao
- Badge de status no card

Criterios de aceite:
- Admin ve fila de aprovacao sem misturar com catalogo geral
- Acao e imediata e refletida no status","Open","Alta","Task","EPIC-06: Catalogo","Backoffice","cervagelada_frontend","Fase 2"
CG,"[BE] Modelar e importar catalogo base de SKUs","Definir schema e estrategia para carga inicial de 6000+ SKUs padronizados.

Tarefas:
- Definir fonte de dados (planilha, API publica de produtos)
- Criar comando artisan para importar SKUs
- Mapear campos: nome, marca, EAN, volume, teor, fabricante, imagem
- Garantir unicidade por EAN
- Documentar processo de atualizacao periodica

Criterios de aceite:
- Base de SKUs populada e consultavel
- EAN e indexado e buscavel","Open","Alta","Task","EPIC-06: Catalogo","Backend","cervagelada_back_api","Fase 2"
CG,"[FE] Melhorar fluxo de match de produto por EAN no painel seller","O painel ja tem busca por EAN (searchByEan). Melhorar UX para fluxo de match completo.

Tarefas:
- Ao buscar EAN e encontrar produto existente, pre-preencher dados
- Seller informa apenas: preco, estoque, destaque
- Se EAN nao encontrado, habilitar cadastro completo (se cervejaria)
- Feedback visual claro de match encontrado/nao encontrado

Criterios de aceite:
- Seller vincula produto existente em poucos cliques
- Cervejaria cria produto novo quando necessario","Open","Media","Task","EPIC-06: Catalogo","Backoffice","cervagelada_frontend","Fase 2"
CG,"[SITE] Implementar modal de descricao de produto sob demanda (RF-09)","Descricao detalhada oculta, acessivel por clique em 'Descricao'.

Tarefas:
- Criar componente ProductDetailModal.vue
- Exibir descricao, atributos, imagem ampliada
- Integrar CTA de adicionar ao carrinho
- Abrir por clique no card de produto

Criterios de aceite:
- Descricao nao polui o card compacto
- Modal responsivo abre e fecha corretamente","Open","Media","Task","EPIC-06: Catalogo","Site Publico","cervagelada","Fase 2"
CG,"EPIC-07: Carrinho e Checkout","Objetivo: construir o fluxo de compra do consumidor em ate 3 telas: loja, carrinho, confirmacao. Cobre RF-10 e RF-11.

Requisitos cobertos:
- RF-10: Carrinho de compras com adicao, ajuste de quantidades e persistencia
- RF-11: Finalizacao de pedido em 3 etapas (loja > carrinho > confirmacao)

Dependencias:
- EPIC-05 (vitrine com produtos reais)
- EPIC-08 (pagamento - pode ser paralelo com mock)

Entregaveis:
- Carrinho persistente por sessao/usuario
- Regra de mono-loja (1 loja por carrinho)
- Tela de carrinho com subtotal, taxa e total
- Tela de confirmacao com endereco e resumo
- Pedido criado no banco com status aguardando_pagamento","Open","Critica","Epic","EPIC-07: Carrinho","Checkout","cervagelada, cervagelada_back_api","Fase 2"
CG,"[SITE] Implementar carrinho de compras persistente","Criar estado de carrinho no app consumidor.

Tarefas:
- Criar store/composable de carrinho (Pinia ou useState)
- Adicionar, remover e alterar quantidade de itens
- Persistir em localStorage ou sessionStorage
- Validar mono-loja: impedir itens de lojas diferentes
- Exibir badge de quantidade no icone do carrinho no header
- Recalcular subtotal a cada alteracao

Criterios de aceite:
- Carrinho sobrevive a refresh
- Itens de outra loja geram aviso e opcao de limpar","Open","Critica","Task","EPIC-07: Carrinho","Checkout","cervagelada","Fase 2"
CG,"[SITE] Criar pagina de carrinho com resumo de compra","Tela 2 do fluxo de checkout.

Tarefas:
- Criar pagina /carrinho
- Listar itens com imagem, nome, preco unitario, quantidade, subtotal
- Permitir ajuste de quantidade e remocao
- Calcular subtotal dos itens
- Exibir taxa de entrega estimada
- Exibir total
- Botao 'Continuar para Confirmacao'

Criterios de aceite:
- Totais recalculados em tempo real
- Carrinho vazio exibe estado vazio com CTA","Open","Critica","Task","EPIC-07: Carrinho","Checkout","cervagelada","Fase 2"
CG,"[SITE] Criar pagina de confirmacao de pedido","Tela 3 do fluxo de checkout.

Tarefas:
- Criar pagina /checkout/confirmacao
- Exibir resumo do pedido (itens, valores)
- Exibir endereco de entrega com opcao de alterar
- Exibir tempo estimado de entrega
- Integrar selecao de metodo de pagamento
- Botao 'Confirmar Pedido'
- Chamar API para criar pedido
- Redirecionar para tela de acompanhamento

Criterios de aceite:
- Todas as informacoes visiveis antes da confirmacao
- Pedido criado com sucesso no backend","Open","Critica","Task","EPIC-07: Carrinho","Checkout","cervagelada","Fase 2"
CG,"[BE] Criar endpoint publico de criacao de pedido para consumidor","O endpoint atual POST /api/pedidos exige auth:api do painel. Criar versao publica.

Tarefas:
- POST /api/public/pedidos (auth de consumidor, nao auth do painel)
- Receber: itens, endereco_id, metodo_pagamento
- Validar estoque em tempo real
- Calcular subtotal, taxa_entrega e total no backend
- Criar pedido com status 'aguardando_pagamento'
- Retornar id do pedido e dados para pagamento

Criterios de aceite:
- Frontend nao envia subtotal/total (backend calcula)
- Estoque insuficiente retorna erro 422 com detalhes","Open","Critica","Task","EPIC-07: Carrinho","API Publica","cervagelada_back_api","Fase 2"
CG,"[BE] Implementar calculo de taxa de entrega","Implementar regra de calculo da taxa baseada em distancia.

Tarefas:
- Definir formula: taxa fixa, por km ou faixa
- Calcular com base na distancia entre loja e endereco de entrega
- Retornar taxa no endpoint de preview do pedido
- Incorporar no calculo final do pedido

Criterios de aceite:
- Taxa calculada automaticamente
- Consumidor ve taxa antes de confirmar","Open","Alta","Task","EPIC-07: Carrinho","Backend","cervagelada_back_api","Fase 2"
CG,"EPIC-08: Pagamento (Asaas)","Objetivo: integrar o gateway Asaas para processar pagamentos reais no checkout. Cobre RF-XX.

Requisitos cobertos:
- RF-XX: Integracao completa com Asaas (cobranca, webhook, estados)
- Pagamento ANTES do envio ao seller
- Webhook para pago, recusado, cancelado, estornado
- Armazenar id da cobranca, metodo e status

Dependencias:
- EPIC-07 (checkout funcional)

Entregaveis:
- Checkout gera cobranca no Asaas
- Webhook atualiza status do pedido automaticamente
- TransacoesFinanceiras refletem estado real
- Pedido so avanca para seller apos pagamento confirmado","Open","Critica","Epic","EPIC-08: Pagamento","Pagamentos","cervagelada, cervagelada_back_api","Fase 3"
CG,"[BE] Criar AsaasService para integracao com API do gateway","Implementar client HTTP para comunicacao com Asaas.

Tarefas:
- Criar app/Domains/Pagamento/ (novo dominio)
- Implementar AsaasService com metodos: criarCobranca, consultarCobranca, cancelarCobranca
- Configurar credenciais via env (ASAAS_API_KEY, ASAAS_ENVIRONMENT)
- Implementar retry e tratamento de erros
- Log estruturado de todas as chamadas

Criterios de aceite:
- Service comunica com sandbox Asaas
- Erros sao tratados sem crash do sistema","Open","Critica","Task","EPIC-08: Pagamento","Backend","cervagelada_back_api","Fase 3"
CG,"[BE] Criar migration e model de pagamento","Modelar entidade de pagamento separada do pedido.

Tarefas:
- Criar tabela pagamentos: id, pedido_id, asaas_id, metodo, status, valor, pago_em, criado_em
- Status: aguardando, processando, pago, recusado, cancelado, estornado
- Metodo: pix, cartao_credito, cartao_debito, boleto
- Relacionar com Pedido (hasOne/belongsTo)
- Atualizar model Pedido com relacao pagamento

Criterios de aceite:
- Pagamento e pedido sao entidades separadas
- Estado do pagamento nao se confunde com estado do pedido","Open","Critica","Task","EPIC-08: Pagamento","Backend","cervagelada_back_api","Fase 3"
CG,"[BE] Implementar criacao de cobranca no checkout","Ao criar pedido, gerar cobranca no Asaas e retornar dados de pagamento.

Tarefas:
- Apos criar pedido com status aguardando_pagamento, chamar AsaasService
- Criar registro na tabela pagamentos com asaas_id
- Retornar: QR code pix, link de pagamento ou form de cartao
- Se Asaas falhar, nao criar pedido (rollback)

Criterios de aceite:
- Checkout produz link/QR de pagamento valido
- Falha de integracao nao gera pedido orfao","Open","Critica","Task","EPIC-08: Pagamento","Backend","cervagelada_back_api","Fase 3"
CG,"[BE] Implementar webhook Asaas e conciliacao de pagamento","Receber eventos do Asaas e atualizar estado do pedido.

Tarefas:
- Criar rota POST /api/webhooks/asaas (publica, sem auth JWT)
- Validar assinatura/token do webhook
- Tratar eventos: PAYMENT_CONFIRMED, PAYMENT_RECEIVED, PAYMENT_OVERDUE, PAYMENT_DELETED, PAYMENT_REFUNDED
- Atualizar tabela pagamentos de forma idempotente
- Quando pago: atualizar pedido para 'recebido' (pronto para seller)
- Quando falhou: atualizar pedido para 'cancelado' e repor estoque
- Log de todos os eventos recebidos

Criterios de aceite:
- Eventos repetidos nao causam duplicidade
- Estado interno reflete estado final do Asaas
- Webhook responde 200 rapidamente (processar async se necessario)","Open","Critica","Task","EPIC-08: Pagamento","Backend","cervagelada_back_api","Fase 3"
CG,"[SITE] Implementar tela de pagamento no checkout","Exibir opcoes de pagamento e QR Pix.

Tarefas:
- Apos confirmacao, exibir metodos disponiveis (Pix, cartao)
- Para Pix: exibir QR code e chave copia-cola
- Para cartao: integrar formulario seguro (Asaas.js)
- Exibir timer de expiracao do pagamento
- Polling ou websocket para detectar pagamento confirmado
- Redirecionar para tela de acompanhamento apos pago

Criterios de aceite:
- Consumidor consegue pagar por Pix ou cartao
- Confirmacao e detectada em tempo real","Open","Critica","Task","EPIC-08: Pagamento","Site Publico","cervagelada","Fase 3"
